# Templates from Starburst99
# SEDs of population with constant star formation, age = 100 Myr, nebular emission included 
# IMF: alpha = 2.35, Mlow = 1 Msun, Mupp = 1 Msun
# column 1: lambda in A
# column 2-6: log(Fnu) in erg/s/A, for Z=0.001, 0.004, 0.008, 0.020 and 0.040
# source: Starburst99 website (http://www.stsci.edu/science/starburst99), data corresponding to Figure 2 

5
1221
            0.001       0.004       0.008       0.020       0.040

91.000000   38.546550   38.919530   38.927510   38.735550   38.332130
2175.0000   40.082900	40.062350   40.047230	40.031380   40.006470
2185.0000   40.075910	40.054120   40.037950	40.019300   39.991700
2195.0000   40.076000	40.056670   40.042130	40.026730   40.003150
2205.0000   40.068400	40.048520   40.033930	40.018980   39.994990
2215.0000   40.059510	40.038170   40.022640	40.006500   39.980580
2225.0000   40.054070	40.031120   40.014630	39.996650   39.969620
2235.0000   40.053710	40.032580   40.017010	40.000400   39.974730
2245.0000   40.047120	40.025090   40.009340	39.992480   39.966040
2255.0000   40.037850	40.014780   39.998110	39.979630   39.951660
2265.0000   40.036520	40.015020   39.999470	39.983370   39.957740
2275.0000   40.033540	40.012960   39.997850	39.982850   39.957870
2285.0000   40.029980	40.009920   39.995090	39.980510   39.955940
2295.0000   40.019010	39.995580   39.978100	39.958720   39.928610
2305.0000   40.015180	39.993120   39.977200	39.960700   39.934340
2315.0000   40.011220	39.987130   39.969880	39.949550   39.919730
2325.0000   39.982520	39.950360   39.928760	39.898280   39.856780
2335.0000   39.999470	39.973060   39.954870	39.932210   39.900420
2345.0000   39.991250	39.965440   39.948440	39.928210   39.898140
2355.0000   39.991490	39.967150   39.950080	39.930120   39.900690
2365.0000   39.982800	39.956470   39.939080	39.918140   39.887040
2375.0000   39.980470	39.954310   39.936530	39.914530   39.882610
2385.0000   39.968260	39.939970   39.921930	39.899750   39.867340
2395.0000   39.970750	39.944690   39.927490	39.907380   39.877660
2405.0000   39.964520	39.936780   39.918840	39.897110   39.865670
2415.0000   39.960560	39.933800   39.916400	39.896370   39.866960
2425.0000   39.959230	39.934280   39.917730	39.899060   39.870820
2435.0000   39.951320	39.924400   39.906600	39.886290   39.856510
2445.0000   39.949840	39.925510   39.908980	39.891390   39.864250
2455.0000   39.945240	39.920090   39.903310	39.885540   39.858310
2465.0000   39.939340	39.914540   39.897900	39.880380   39.853470
2475.0000   39.933990	39.907930   39.890420	39.871640   39.843410
2485.0000   39.932580	39.907570   39.890290	39.871240   39.842380
2495.0000   39.915820	39.879200   39.852760	39.817180   39.773900
2505.0000   39.924800	39.900520   39.882980	39.863230   39.833330
2513.0000   39.909350	39.881350   39.862250	39.841440   39.811090
2518.0000   39.916950	39.890790   39.872900	39.854900   39.827390
2525.0000   39.911000	39.884210   39.866180	39.847040   39.819030
2535.0000   39.905910	39.880000   39.862520	39.844770   39.818190
2545.0000   39.901130	39.873840   39.855410	39.835450   39.806470
2555.0000   39.901270	39.875570   39.857900	39.840230   39.813320
2565.0000   39.896190	39.870400   39.852680	39.834850   39.807670
2575.0000   39.895180	39.871220   39.854390	39.838580   39.814010
2585.0000   39.891400	39.867050   39.850160	39.833780   39.808590
2595.0000   39.886680	39.861930   39.844750	39.828500   39.803450
2605.0000   39.880600	39.854920   39.837460	39.821040   39.795600
2615.0000   39.876080	39.850190   39.832410	39.815240   39.789260
2625.0000   39.873160	39.848460   39.831230	39.815290   39.790580
2635.0000   39.869480	39.845520   39.828750	39.813550   39.789510
2645.0000   39.871310	39.849300   39.832970	39.817690   39.793410
2655.0000   39.867000	39.845290   39.828980	39.814550   39.790690
2665.0000   39.859980	39.835580   39.817760	39.799540   39.771530
2675.0000   39.857750	39.834510   39.817320	39.800820   39.775060
2685.0000   39.854900	39.831670   39.814470	39.798160   39.772050
2695.0000   39.847820	39.823180   39.805260	39.787460   39.760010
2705.0000   39.845500	39.821530   39.803740	39.785880   39.757970
2715.0000   39.839730	39.814530   39.796290	39.778050   39.750960
2725.0000   39.834260	39.809910   39.792130	39.775540   39.750400
2735.0000   39.831060	39.807960   39.790580	39.775450   39.751740
2745.0000   39.823400	39.796500   39.777950	39.760000   39.733280
2755.0000   39.820260	39.793820   39.775500	39.757610   39.730880
2765.0000   39.817950	39.792630   39.774330	39.757000   39.731010
2775.0000   39.818230	39.794250   39.776580	39.760840   39.736590
2785.0000   39.813760	39.788850   39.770690	39.754460   39.730520
2795.0000   39.800110	39.768540   39.747970	39.728130   39.698650
2805.0000   39.801690	39.773190   39.753630	39.735890   39.709380
2815.0000   39.804010	39.780160   39.762280	39.746930   39.723530
2825.0000   39.798340	39.775580   39.757980	39.743400   39.720490
2835.0000   39.792660	39.767440   39.748470	39.730650   39.703710
2845.0000   39.789520	39.764180   39.745790	39.728260   39.701970
2855.0000   39.786020	39.760280   39.741860	39.724390   39.698480
2865.0000   39.784480	39.761040   39.743170	39.727440   39.702300
2875.0000   39.780180	39.756030   39.737950	39.721770   39.696100
2885.0000   39.777570	39.753780   39.735600	39.719540   39.693880
2895.0000   39.774090	39.749610   39.731060	39.714560   39.687950
2910.0000   39.770740	39.748290   39.730140	39.714450   39.688870
2930.0000   39.762590	39.739370   39.721350	39.705880   39.681200
2950.0000   39.754520	39.730810   39.712450	39.696440   39.671480
2970.0000   39.749690	39.726150   39.707790	39.691910   39.666390
2990.0000   39.743040	39.719230   39.700640	39.684480   39.658870
3010.0000   39.737520	39.713930   39.694990	39.678020   39.651620
3030.0000   39.731370	39.707880   39.689150	39.672910   39.647050
3050.0000   39.724900	39.701550   39.682740	39.666580   39.641050
3070.0000   39.718490	39.694990   39.676040	39.659810   39.634330
3090.0000   39.712450	39.688950   39.669680	39.652860   39.626580
3110.0000   39.706180	39.682450   39.663240	39.646850   39.620660
3130.0000   39.699740	39.675580   39.656210	39.639150   39.612760
3150.0000   39.694000	39.670350   39.651150	39.634510   39.608700
3170.0000   39.688160	39.664160   39.644550	39.626910   39.599700
3190.0000   39.679740	39.654480   39.634610	39.616660   39.589780
3210.0000   39.675360	39.651020   39.631090	39.613430   39.586190
3230.0000   39.670560	39.645160   39.624840	39.606520   39.579610
3250.0000   39.665630	39.641150   39.620810	39.602950   39.575160
3270.0000   39.660660	39.636170   39.615550	39.597230   39.568260
3290.0000   39.655200	39.630780   39.610150	39.591770   39.562950
