# Mon Jul 22 14:51:13 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.023487  5.10037E-01   -1.29012E-03   -5.10035E-01   -1.05503E-04
    0.023805  5.26747E-01   -1.41247E-03   -5.26746E-01   -6.35799E-05
    0.024127  5.40676E-01   -1.45007E-03   -5.40675E-01   -1.01322E-04
    0.024453  5.52871E-01   -1.47667E-03   -5.52869E-01   -6.68703E-05
    0.024784  5.65677E-01   -1.58321E-03   -5.65674E-01   -6.79035E-05
    0.025119  5.82672E-01   -1.64113E-03   -5.82670E-01   -1.53003E-04
    0.025458  6.02306E-01   -1.63439E-03   -6.02304E-01   -1.76154E-04
    0.025803  6.21341E-01   -1.67235E-03   -6.21339E-01   -1.47515E-04
    0.026152  6.39458E-01   -1.73664E-03   -6.39455E-01   -1.41596E-04
    0.026505  6.56413E-01   -1.79516E-03   -6.56410E-01   -1.40192E-04
    0.026864  6.73637E-01   -1.87293E-03   -6.73634E-01   -1.46265E-04
    0.027227  6.92775E-01   -1.94747E-03   -6.92772E-01   -1.88225E-04
    0.027595  7.13435E-01   -1.98722E-03   -7.13432E-01   -2.27069E-04
    0.027968  7.34319E-01   -2.02480E-03   -7.34316E-01   -2.33530E-04
    0.028346  7.54949E-01   -2.08362E-03   -7.54946E-01   -2.32000E-04
    0.028730  7.75543E-01   -2.15211E-03   -7.75540E-01   -2.41171E-04
    0.029118  7.96294E-01   -2.22176E-03   -7.96291E-01   -2.58904E-04
    0.029512  8.17670E-01   -2.28740E-03   -8.17667E-01   -2.81784E-04
    0.029911  8.39206E-01   -2.35285E-03   -8.39202E-01   -3.01517E-04
    0.030316  8.61106E-01   -2.42236E-03   -8.61102E-01   -3.30235E-04
    0.030726  8.83075E-01   -2.47963E-03   -8.83072E-01   -3.62098E-04
    0.031141  9.04475E-01   -2.53195E-03   -9.04471E-01   -3.82615E-04
    0.031562  9.24982E-01   -2.59008E-03   -9.24978E-01   -4.00645E-04
    0.031989  9.44528E-01   -2.64656E-03   -9.44526E-01   -4.24603E-04
    0.032421  9.62988E-01   -2.69643E-03   -9.62984E-01   -4.49786E-04
    0.032860  9.79978E-01   -2.73764E-03   -9.79974E-01   -4.71062E-04
    0.033304  9.95807E-01   -2.78475E-03   -9.95803E-01   -4.84776E-04
    0.033755  9.90291E-01   -2.77720E-03   -9.90288E-01   -5.00959E-04
    0.034211  9.69413E-01   -2.70332E-03   -9.69408E-01   -5.20225E-04
    0.034674  9.43164E-01   -2.61829E-03   -9.43161E-01   -5.11746E-04
    0.035143  9.13645E-01   -2.54801E-03   -9.13641E-01   -4.85655E-04
    0.035618  9.21043E-01   -2.58368E-03   -9.21039E-01   -4.92448E-04
    0.036099  9.78416E-01   -2.75880E-03   -9.78413E-01   -5.44106E-04
    0.036588  1.03485E+00   -2.92780E-03   -1.03485E+00   -5.92334E-04
    0.037082  1.07858E+00   -3.06653E-03   -1.07858E+00   -6.29356E-04
    0.037584  1.12362E+00   -3.22030E-03   -1.12361E+00   -6.84417E-04
    0.038092  1.17241E+00   -3.37260E-03   -1.17241E+00   -7.58530E-04
    0.038607  1.22262E+00   -3.51711E-03   -1.22262E+00   -8.29069E-04
    0.039129  1.27786E+00   -3.67736E-03   -1.27785E+00   -8.99793E-04
    0.039658  1.33599E+00   -3.84990E-03   -1.33599E+00   -9.75993E-04
    0.040195  1.39636E+00   -4.02971E-03   -1.39636E+00   -1.05908E-03
    0.040738  1.45956E+00   -4.21570E-03   -1.45956E+00   -1.14512E-03
    0.041289  1.52482E+00   -4.41754E-03   -1.52481E+00   -1.22924E-03
    0.041847  1.61699E+00   -4.72705E-03   -1.61698E+00   -1.36120E-03
    0.042413  1.71560E+00   -5.05524E-03   -1.71560E+00   -1.53056E-03
    0.042987  1.82017E+00   -5.37380E-03   -1.82016E+00   -1.72866E-03
    0.043568  1.93117E+00   -5.67977E-03   -1.93116E+00   -1.95288E-03
    0.044157  2.04658E+00   -5.99067E-03   -2.04657E+00   -2.19411E-03
    0.044754  2.15329E+00   -6.26871E-03   -2.15327E+00   -2.42926E-03
    0.045359  2.26005E+00   -6.53338E-03   -2.26004E+00   -2.66832E-03
    0.045973  2.37043E+00   -6.80217E-03   -2.37041E+00   -2.90757E-03
    0.046594  2.48550E+00   -7.06188E-03   -2.48549E+00   -3.17023E-03
    0.047224  2.60437E+00   -7.33150E-03   -2.60436E+00   -3.47384E-03
